Rank,Company,Revenue,Employees,Headquarters,Country,Year,Founded,Industry,Population,X.of.phone.numbers
1,Apple Inc.,229.2,123000,"Cupertino, California, US",United States,2018,1976,Consumer Electronics,340110988,380577528
2,Samsung Electronics,211.9,320670,"Suwon, South Korea",South Korea,2018,1969,Consumer Electronics,51159889,56004887
3,Amazon,177.9,613300,"Seattle, Washington, US",United States,2018,1994,Ecommerce,340110988,380577528
4,Foxconn,154.7,803126,"New Taipei City, Taiwan",Taiwan,2018,1974,Electronics Manufacturing,23317031,28610000
5,Alphabet Inc.,110.8,80110,"Mountain View, California, US",United States,2018,1998,Internet,340110988,380577528
6,Microsoft,90,124000,"Redmond, Washington, US",United States,2018,1975,Software & Cloud,340110988,380577528
7,Huawei,89.3,180000,"Shenzhen, China",China,2018,1987,Telecommunications Equipment,1408280000,1610360000
8,Hitachi,84.6,307275,"Tokyo, Japan",Japan,2018,1910,Conglomerate,123210000,146649600
9,IBM,79.1,397800,"Armonk, New York, US",United States,2018,1911,Information Technology Services,340110988,380577528
10,Dell Technologies,78.7,145000,"Round Rock, Texas, US",United States,2018,1984,Computer Hardware,340110988,380577528
11,Sony,77.1,117300,"Tokyo, Japan",Japan,2018,1946,Conglomerate (Electronics/Entertainment),123210000,146649600
12,Panasonic,72,274143,"Osaka, Japan",Japan,2018,1918,Consumer Electronics,123210000,146649600
13,Intel,62.8,102700,"Santa Clara, California, US",United States,2018,1968,Semiconductors,340110988,380577528
14,LG Electronics,54.3,74000,"Seoul, South Korea",South Korea,2018,1975,Technology Hardware & Equipment,51159889,56004887
15,JD.com,54,157831,"Beijing, China",China,2018,1998,Ecommerce,1408280000,1610360000
16,HP Inc.,52,49000,"Palo Alto, California, US",United States,2018,1939,Computer Hardware,340110988,380577528
1,Apple,265.595,132000,"Cupertino, California, US",United States,2019,1975,Consumer Electronics,340110988,380577528
2,Samsung Electronics,197.7,309630,"Suwon, South Korea",South Korea,2019,1969,Consumer Electronics,51159889,56004887
3,Foxconn,175.617,667680,"New Taipei City, Taiwan",Taiwan,2019,1974,Electronics Manufacturing,23317031,28610000
4,Alphabet,136.819,98771,"Mountain View, California, US",United States,2019,1998,Internet,340110988,380577528
5,Microsoft,110.36,131000,"Redmond, Washington, US",United States,2019,1975,Software & Cloud,340110988,380577528
6,Huawei,109.03,188000,"Shenzhen, China",China,2019,1987,Telecommunications Equipment,1408280000,1610360000
7,Dell Technologies,90.621,157000,"Round Rock, Texas, US",United States,2019,1984,Computer Hardware,340110988,380577528
8,Hitachi,85.507,295941,"Tokyo, Japan",Japan,2019,1910,Conglomerate,123210000,146649600
9,IBM,79.591,381100,"Armonk, New York, US",United States,2019,1911,Information Technology Services,340110988,380577528
10,Sony,78.157,114400,"Tokyo, Japan",Japan,2019,1946,Conglomerate (Electronics/Entertainment),123210000,146649600
11,Panasonic,72.178,271869,"Osaka, Japan",Japan,2019,1918,Consumer Electronics,123210000,146649600
12,Intel,70.848,107400,"Santa Clara, California, US",United States,2019,1968,Semiconductors,340110988,380577528
13,HP Inc.,58.472,55000,"Palo Alto, California, US",United States,2019,1939,Computer Hardware,340110988,380577528
14,Meta(Facebook),55.838,35587,"Menlo Park, California, US",United States,2019,1975,Technology Hardware & Equipment,340110988,380577528
15,LG Electronics,55.757,72600,"Seoul, South Korea",South Korea,2019,1975,Technology Hardware & Equipment,51159889,56004887
16,Lenovo,51.037,57000,"Hong Kong, China[6]",China,2019,1984,Computer Hardware,1408280000,1610360000
1,Apple,260.174,137000,"Cupertino, California, US",United States,2020,1975,Consumer Electronics,340110988,380577528
2,Samsung Electronics,197.705,287439,"Suwon, South Korea",South Korea,2020,1969,Consumer Electronics,51159889,56004887
3,Foxconn,178.869,757404,"New Taipei City, Taiwan",Taiwan,2020,1974,Electronics Manufacturing,23317031,28610000
4,Alphabet,161.857,118899,"Mountain View, California, US",United States,2020,1998,Internet,340110988,380577528
5,Microsoft,125.843,144000,"Redmond, Washington, US",United States,2020,1975,Software & Cloud,340110988,380577528
6,Huawei,124.316,194000,"Shenzhen, China",China,2020,1987,Telecommunications Equipment,1408280000,1610360000
7,Dell Technologies,92.154,165000,"Round Rock, Texas, US",United States,2020,1984,Computer Hardware,340110988,380577528
8,Hitachi,80.639,301056,"Tokyo, Japan",Japan,2020,1910,Conglomerate,123210000,146649600
9,IBM,77.147,383056,"Armonk, New York, US",United States,2020,1911,Information Technology Services,340110988,380577528
10,Sony,75.972,111700,"Tokyo, Japan",Japan,2020,1946,Conglomerate (Electronics/Entertainment),123210000,146649600
11,Intel,71.965,110800,"Santa Clara, California, US",United States,2020,1968,Semiconductors,340110988,380577528
12,Meta(Facebook),70.697,44942,"Menlo Park, California, US",United States,2020,1975,Technology Hardware & Equipment,340110988,380577528
13,Panasonic,68.897,259385,"Osaka, Japan",Japan,2020,1918,Consumer Electronics,123210000,146649600
14,HP Inc.,58.756,56000,"Palo Alto, California, US",United States,2020,1939,Computer Hardware,340110988,380577528
15,Tencent,54.613,62885,"Shenzhen, China",China,2020,1998,Internet,1408280000,1610360000
16,LG Electronics,53.464,74000,"Seoul, South Korea",South Korea,2020,1975,Technology Hardware & Equipment,51159889,56004887
17,Cisco,51.904,75900,"San Jose, California, US",United States,2020,1975,Technology Hardware & Equipment,340110988,380577528
18,Lenovo,50.716,63000,"Hong Kong, China[6]",China,2020,1984,Computer Hardware,1408280000,1610360000
1,Apple,383.93,147000,"Cupertino, California, US",United States,2021,1975,Consumer Electronics,340110988,380577528
